trade_id,client_id,salesperson_id,trade_date,facevalue,actual_revenue,churn_date
95,255,41,14-07-2023,634824,244289,03-08-2023
96,574,36,23-07-2023,562509,161287,01-08-2023
97,686,6,24-12-2022,779417,795384,
98,175,25,01-08-2023,985197,988688,
99,148,29,28-02-2023,147489,183693,
100,63,5,19-06-2023,911803,47359,30-06-2023
101,99,34,13-06-2023,131344,182591,
102,543,33,03-07-2023,603224,116571,04-07-2023
103,260,72,15-04-2023,146099,185502,
104,553,39,24-12-2022,269997,278277,
105,187,37,23-06-2023,76178,127527,
106,445,27,22-04-2023,249886,285923,
107,292,7,21-06-2023,132965,151376,
108,637,52,10-03-2023,376398,397260,
109,275,49,24-07-2023,241230,245680,
110,515,67,27-04-2023,810015,418283,28-07-2023
111,650,56,11-08-2023,587060,598578,
112,494,32,03-08-2023,885500,614820,07-08-2023
113,393,29,17-04-2023,947101,454322,25-07-2023
114,63,49,09-07-2023,583209,609356,
115,444,40,13-07-2023,369208,375565,
116,374,50,25-02-2023,703352,295622,25-06-2023
117,92,62,11-04-2023,860990,358617,14-06-2023
118,752,23,02-07-2023,856611,863105,
119,602,3,27-01-2023,388551,238926,15-02-2023
120,91,30,07-06-2023,103412,116249,
121,561,44,04-08-2023,106818,129258,
122,671,70,17-01-2023,324962,369357,
123,313,13,15-07-2023,555872,557792,
124,487,29,03-07-2023,455220,475635,
125,49,29,28-09-2022,714533,720562,
126,727,67,29-07-2023,682587,699298,
127,160,52,01-07-2023,764505,774668,
128,642,55,15-07-2023,339840,343826,
129,667,26,11-06-2023,315673,48156,02-07-2023
130,623,16,06-05-2023,677621,285142,21-05-2023
131,99,72,06-07-2023,499834,508136,
132,323,48,31-07-2023,400234,410069,
133,156,68,04-08-2023,84394,38204,09-08-2023
134,705,60,27-04-2023,908012,42796,24-07-2023
135,666,56,08-08-2023,167265,183638,
136,107,6,23-03-2023,477886,498965,
137,724,73,27-04-2023,146999,159490,
138,599,12,23-05-2023,593853,597913,
139,684,65,14-06-2023,826715,528856,08-07-2023
140,193,28,14-07-2023,831189,695370,27-07-2023
141,135,68,27-03-2023,290528,299547,
142,412,13,04-07-2023,994392,714941,24-07-2023
143,103,52,07-05-2023,252626,65754,22-06-2023
144,306,2,12-07-2023,712772,728266,
145,1,65,09-04-2023,139454,99418,07-06-2023
146,328,58,13-04-2023,964717,972263,
147,558,39,22-07-2023,641654,331391,10-08-2023
148,529,17,22-03-2023,941668,327982,15-05-2023
149,362,73,29-03-2023,993052,360013,22-04-2023
150,279,22,13-02-2023,901864,906165,
151,556,71,24-06-2023,558256,492212,09-08-2023
152,742,9,06-06-2023,952508,740137,28-06-2023
153,115,3,13-07-2023,299034,332853,
154,461,65,18-10-2022,371929,388330,
155,439,3,14-07-2023,935420,452364,16-07-2023
156,653,1,15-02-2023,107045,123029,
157,505,1,02-06-2023,661162,434838,15-06-2023
158,546,16,23-05-2023,459361,505254,
159,268,12,08-05-2023,129810,133086,
160,696,65,04-06-2023,427418,455313,
161,63,21,11-08-2023,946058,577529,11-08-2023
162,317,58,29-06-2023,639798,55417,08-08-2023
163,139,49,17-05-2023,844900,868919,
164,669,28,09-08-2023,364982,392255,
165,294,69,08-09-2022,725682,748411,
166,281,2,17-07-2023,306005,320581,
167,497,70,15-03-2023,901115,905250,
168,419,18,14-01-2023,267216,197042,10-02-2023
169,153,22,28-07-2023,973116,46928,06-08-2023
170,349,55,25-07-2023,550195,544374,31-07-2023
171,415,32,01-04-2023,971731,988916,
172,676,28,06-08-2023,168024,171160,
173,692,38,18-09-2022,208837,192367,02-07-2023
174,174,3,22-06-2023,847168,874163,
175,566,18,09-12-2022,374029,395321,
176,137,29,02-05-2023,794721,800533,
177,521,63,27-01-2023,823320,99222,19-04-2023
178,524,24,17-01-2023,211556,224720,
179,35,16,17-07-2023,758600,780949,
180,628,69,24-12-2022,712797,735904,
181,196,19,12-06-2023,623670,258745,15-06-2023
182,307,14,31-12-2022,757059,73760,22-01-2023
183,472,45,18-06-2023,653190,685655,
184,291,58,09-08-2023,549131,409041,09-08-2023
185,621,33,10-07-2023,462952,485955,
186,92,33,10-07-2023,176879,211795,
187,496,64,07-07-2023,385570,149251,16-07-2023
188,558,2,22-03-2023,414151,441148,
189,673,19,26-04-2023,72531,96359,
190,43,70,12-07-2023,639505,654673,
191,747,52,01-08-2023,710495,412055,04-08-2023
192,455,6,12-03-2023,205569,209319,
193,583,32,09-06-2023,594599,581023,19-06-2023
194,308,47,21-07-2023,799463,162858,09-08-2023
195,55,57,24-05-2023,354849,372493,
196,282,44,27-07-2023,507844,526725,
197,92,60,22-04-2023,495134,511676,
198,446,48,11-04-2023,519039,548232,
199,522,34,15-03-2023,430745,442267,
200,51,3,11-08-2023,942315,961949,
201,167,70,14-05-2023,148189,181821,
202,602,38,12-05-2023,587533,595698,
203,697,43,18-01-2023,415529,434527,
204,288,2,19-03-2023,936610,758426,11-08-2023
205,348,60,03-07-2023,736220,754375,
206,83,51,05-02-2023,515006,76532,22-06-2023
207,224,59,25-05-2023,474914,289088,04-07-2023
208,374,46,14-01-2023,617389,639929,
209,556,14,26-06-2023,70817,137725,
210,656,19,06-06-2023,805232,98196,20-07-2023
211,629,15,25-06-2023,173233,190974,
212,542,26,09-10-2022,989233,999095,
213,117,33,23-06-2023,265394,284184,
214,237,50,03-06-2023,813213,841914,
215,372,66,19-04-2023,646460,677464,
216,275,5,21-07-2023,653845,680441,
217,239,55,12-11-2022,558469,570450,
218,153,69,28-07-2023,989050,59339,10-08-2023
219,291,66,01-02-2023,711280,183126,20-06-2023
220,429,1,22-05-2023,657560,686571,
221,261,54,24-03-2023,925631,566349,29-03-2023
222,749,11,27-07-2023,91500,106404,
223,704,18,05-05-2023,733651,736970,
224,223,1,26-11-2022,178776,215759,
225,263,25,07-06-2023,421087,438493,
226,575,66,10-12-2022,603054,85722,16-04-2023
227,607,31,08-12-2022,901399,555624,12-04-2023
228,467,53,10-11-2022,493407,496240,
229,489,70,24-02-2023,261642,295051,
230,250,18,27-01-2023,212576,222963,
231,50,48,24-07-2023,889066,96412,26-07-2023
232,544,71,12-07-2023,792214,447734,04-08-2023
233,337,66,16-07-2023,206698,268874,
234,609,47,07-07-2023,175178,225608,
235,148,42,09-04-2023,418714,373279,10-06-2023
236,158,4,27-06-2023,290558,306494,
237,310,53,21-07-2023,450510,453349,
238,615,65,26-01-2023,837920,811445,22-03-2023
239,16,57,02-05-2023,687126,693013,
240,417,24,14-04-2023,79134,116092,
241,544,48,16-05-2023,555548,588676,
242,155,58,11-02-2023,967840,320783,07-08-2023
243,8,15,18-02-2023,832365,838620,
244,127,34,15-07-2023,604032,619604,
245,327,14,09-08-2023,688927,666971,11-08-2023
246,592,53,24-10-2022,727586,735567,
247,2,3,16-11-2022,855806,464192,22-01-2023
248,32,17,07-08-2023,184613,184731,
249,532,42,10-08-2023,209624,211414,
250,471,29,08-04-2023,106860,154426,
251,100,44,28-04-2023,941542,943066,
252,117,57,25-01-2023,156951,187906,
253,536,51,03-04-2023,916793,765873,05-04-2023
254,553,61,03-07-2023,607704,621560,
255,693,30,24-03-2023,984379,648921,11-08-2023
256,166,57,31-03-2023,696780,699021,
257,548,59,25-04-2023,580203,599334,
258,595,28,13-04-2023,958533,360128,24-04-2023
259,203,66,18-07-2023,523713,549122,
260,534,3,21-07-2023,501665,505260,
261,171,30,11-07-2023,232532,242139,
262,10,16,24-07-2023,690197,275290,05-08-2023
263,21,58,21-11-2022,643765,227009,23-01-2023
264,1,52,26-03-2023,717067,740187,
265,348,3,26-07-2023,163242,83698,26-07-2023
266,482,47,27-03-2023,685705,672263,02-05-2023
267,520,31,13-04-2023,378664,311287,01-07-2023
268,110,30,26-12-2022,95930,118178,
269,153,17,08-07-2023,784401,793877,
270,707,59,23-04-2023,612402,621942,
271,158,32,11-04-2023,883168,895483,
272,587,66,30-07-2023,926037,929653,
273,612,26,24-07-2023,146127,200097,
274,261,52,24-07-2023,853845,886113,
275,480,57,08-09-2022,386551,429946,
276,518,71,05-06-2023,971222,791817,18-06-2023
277,306,15,14-07-2023,805723,795141,24-07-2023
278,196,29,22-06-2023,102529,114391,
279,291,8,31-05-2023,343850,366913,
280,107,16,09-03-2023,434092,182706,17-03-2023
281,480,45,28-04-2023,333184,353191,
282,36,68,17-07-2023,455997,261914,05-08-2023
283,561,19,09-08-2023,826016,835756,
284,616,23,05-08-2023,759178,769695,
285,460,38,08-05-2023,670563,694227,
286,594,52,06-04-2023,51287,56800,
287,663,66,11-08-2023,204871,166174,11-08-2023
288,455,1,25-04-2023,132701,170130,
289,377,32,11-08-2023,615568,626584,
290,601,37,14-07-2023,504293,539173,
291,359,62,10-08-2023,364735,378310,
292,708,8,16-04-2023,934981,547535,06-08-2023
293,437,47,27-05-2023,518338,546682,
294,26,13,08-08-2023,898241,907859,
295,138,48,04-06-2023,443523,465881,
296,420,70,15-03-2023,837012,595978,28-04-2023
297,643,63,28-01-2023,65583,81918,
298,217,6,30-04-2023,58961,82683,
299,650,70,08-08-2023,944781,948777,
300,576,28,07-08-2023,212815,219824,
301,412,12,28-05-2023,296002,329416,
302,260,60,23-06-2023,717604,354748,02-07-2023
303,370,15,03-10-2022,579732,603726,
304,242,55,26-05-2023,934719,813401,09-07-2023
305,526,26,05-05-2023,884806,909417,
306,564,12,20-01-2023,433682,464511,
307,666,64,24-05-2023,998550,807529,03-06-2023
308,493,19,08-07-2023,663432,36518,22-07-2023
309,584,23,29-03-2023,305506,328875,
310,61,28,13-06-2023,372333,388674,
311,531,28,26-06-2023,472474,480432,
312,435,52,20-05-2023,304911,202618,06-08-2023
313,423,1,13-01-2023,618510,640306,
314,440,69,25-05-2023,405450,410447,
315,102,20,01-02-2023,472095,122650,26-07-2023
316,381,27,09-05-2023,769882,773009,
317,313,44,26-06-2023,176736,197172,
318,502,47,25-01-2023,140702,179377,
319,60,54,15-12-2022,766196,766542,
320,436,52,06-08-2023,883856,893549,
321,564,43,14-12-2022,581448,504760,29-04-2023
322,751,32,31-07-2023,538858,543418,
323,1,23,19-03-2023,168619,189669,
324,286,17,23-05-2023,935476,412143,02-06-2023
325,478,2,17-06-2023,712855,40346,11-07-2023
326,115,9,06-06-2023,152288,164246,
327,66,29,27-04-2023,722035,328221,29-04-2023
328,640,18,25-01-2023,769947,488505,28-06-2023
329,53,42,15-07-2023,117182,167875,
330,391,61,30-05-2023,940933,608770,10-06-2023
331,361,40,10-07-2023,629843,375449,17-07-2023
332,587,19,02-05-2023,441363,455592,
333,149,58,20-03-2023,137194,156802,
334,322,60,22-04-2023,74100,76344,
335,415,53,17-01-2023,190470,202383,
336,483,36,16-07-2023,805165,764370,30-07-2023
337,72,38,26-07-2023,500883,546637,
338,479,18,07-03-2023,384053,225081,09-08-2023
339,37,68,27-06-2023,523373,538739,
340,339,47,03-04-2023,228863,149330,08-07-2023
341,150,44,31-07-2023,449164,451244,
342,234,63,22-04-2023,102422,140460,
343,718,5,18-03-2023,201352,218328,
344,334,5,31-05-2023,957646,603679,31-07-2023
345,663,13,07-01-2023,391903,292279,24-01-2023
346,343,5,14-05-2023,648599,139437,07-06-2023
347,751,10,27-07-2023,652552,62760,07-08-2023
348,313,61,06-07-2023,381633,254496,27-07-2023
349,401,72,11-08-2023,143760,153169,
350,129,22,04-08-2023,347620,235642,11-08-2023
351,292,18,28-02-2023,836272,838321,
352,732,58,31-07-2023,444010,448400,
353,597,67,12-04-2023,249481,273027,
354,574,27,16-07-2023,813792,827275,
355,635,7,23-03-2023,661496,669115,
356,537,1,10-08-2023,807890,550752,10-08-2023
357,228,8,30-03-2023,284475,284707,
358,440,58,27-05-2023,966589,976733,
359,312,9,11-04-2023,625331,246206,20-04-2023
360,468,14,09-07-2023,550785,563671,
361,714,57,21-12-2022,558857,201962,10-06-2023
362,534,3,18-03-2023,500970,477959,07-08-2023
363,382,41,07-04-2023,623880,628376,
364,53,36,18-07-2023,154276,162799,
365,607,39,19-03-2023,502269,514608,
366,628,73,02-02-2023,971585,973904,
367,289,30,10-06-2023,65266,80776,
368,704,55,15-07-2023,410335,441880,
369,216,66,06-05-2023,426530,318401,03-07-2023
370,65,3,03-02-2023,624893,641717,
371,113,15,20-06-2023,693997,164746,10-07-2023
372,409,50,07-07-2023,360297,393558,
373,196,27,30-06-2023,810415,819875,
374,457,34,23-05-2023,386789,118215,20-07-2023
375,337,68,15-06-2023,950192,191968,30-07-2023
376,143,59,05-02-2023,186845,217336,
377,258,24,28-04-2023,799426,723276,15-06-2023
378,56,21,05-07-2023,527020,532890,
379,678,8,11-02-2023,610753,131427,31-05-2023
380,567,51,04-07-2023,78563,103124,
381,450,69,01-07-2023,190862,213988,
382,539,7,27-05-2023,650305,48551,19-06-2023
383,200,68,28-06-2023,297112,320393,
384,464,64,30-06-2023,330975,46280,29-07-2023
385,455,47,15-07-2023,338014,355286,
386,159,24,21-06-2023,673520,261379,07-08-2023
387,93,1,23-07-2023,777778,521120,28-07-2023
388,83,6,12-06-2023,276288,160160,17-07-2023
389,375,42,18-07-2023,696399,706799,
390,525,40,02-08-2023,285867,285939,
391,729,33,10-07-2023,64519,108053,
392,159,62,01-05-2023,719045,93667,27-06-2023
393,206,44,04-06-2023,51574,103533,
394,179,50,10-07-2023,852471,854769,
395,165,16,20-12-2022,256486,266284,
396,222,28,09-07-2023,61323,99321,
397,103,54,26-03-2023,970699,154183,18-07-2023
398,448,58,19-07-2023,898857,328277,01-08-2023
399,739,29,08-08-2023,942104,948147,
400,95,64,20-07-2023,673019,682224,
401,629,17,02-07-2023,861389,299607,11-08-2023
402,169,40,30-06-2023,189561,226898,
403,287,56,05-06-2023,100421,145391,
404,348,14,14-07-2023,930293,481966,01-08-2023
405,656,56,08-05-2023,715261,568596,30-05-2023
406,483,71,20-07-2023,761466,232225,11-08-2023
407,676,49,08-08-2023,995214,342974,11-08-2023
408,112,68,15-06-2023,867395,493260,06-07-2023
409,292,53,12-03-2023,937349,947042,
410,518,72,14-07-2023,757001,768660,
411,599,23,20-07-2023,547620,550190,
412,396,55,30-06-2023,99289,120483,
413,561,57,04-08-2023,179911,222411,
414,382,20,18-07-2023,605670,623304,
415,418,55,09-04-2023,269030,273038,
416,67,28,26-05-2023,57569,68667,
417,27,36,11-04-2023,719655,738291,
418,508,65,03-07-2023,861878,510954,11-08-2023
419,452,54,02-07-2023,400382,334842,03-08-2023
420,690,48,02-07-2023,545554,564633,
421,360,37,26-06-2023,759967,370644,04-07-2023
422,661,64,20-02-2023,256576,274682,
423,267,45,06-02-2023,497111,234349,05-08-2023
424,371,36,11-08-2023,465945,477011,
425,478,57,10-06-2023,270224,315145,
426,112,66,17-06-2023,181342,189781,
427,304,3,18-05-2023,822856,371806,27-05-2023
428,473,41,10-03-2023,975961,662247,25-05-2023
429,9,68,09-04-2023,611238,632537,
430,480,49,31-12-2022,507575,536945,
431,713,30,22-06-2023,952687,959825,
432,111,38,22-06-2023,766122,390618,23-06-2023
433,567,10,04-08-2023,941279,945173,
434,56,60,20-07-2023,701315,717552,
435,496,60,02-05-2023,900500,840589,27-07-2023
436,110,47,06-10-2022,506013,540811,
437,408,29,17-07-2023,210302,257682,
438,289,42,15-06-2023,934694,505733,25-06-2023
439,523,37,05-01-2023,366212,402909,
440,661,7,30-03-2023,64417,131611,
441,272,5,18-10-2022,605695,622770,
442,139,25,16-06-2023,763567,783524,
443,531,36,09-08-2023,239244,179285,09-08-2023
444,311,24,06-04-2023,994499,242912,24-05-2023
445,724,28,12-07-2023,460878,479365,
446,393,33,06-06-2023,83419,100050,
447,329,18,04-08-2023,462399,480366,
448,333,56,16-07-2023,986331,1007640,
449,21,63,03-07-2023,364497,366419,
450,326,14,02-04-2023,186671,56891,12-05-2023
451,120,38,25-07-2023,531716,545361,
452,135,17,24-03-2023,521550,532121,
453,506,56,03-04-2023,482743,407003,03-06-2023
454,554,73,07-08-2023,612237,86651,09-08-2023
455,330,49,04-05-2023,957842,556599,29-06-2023
456,29,37,29-04-2023,854432,859724,
457,43,4,18-07-2023,88591,83177,01-08-2023
458,273,41,09-07-2023,488602,398255,06-08-2023
459,402,33,14-07-2023,765926,786173,
460,741,73,20-07-2023,823093,831568,
461,296,47,24-04-2023,532486,541151,
462,173,8,07-07-2023,193361,223326,
463,167,62,25-04-2023,541146,445974,10-08-2023
464,84,3,14-02-2023,209011,218565,
465,648,47,30-07-2023,881619,887896,
466,206,25,05-08-2023,725348,740810,
467,342,71,06-06-2023,918830,936885,
468,126,62,26-05-2023,740925,748756,
469,399,46,02-03-2023,971160,112289,17-06-2023
470,733,71,10-08-2023,712322,228485,11-08-2023
471,727,29,14-07-2023,327694,345729,
472,265,26,08-11-2022,97556,106440,
473,334,19,15-04-2023,772988,111180,15-04-2023
474,265,72,30-03-2023,542922,570565,
475,667,36,04-06-2023,686222,695975,
476,97,26,24-04-2023,631093,640923,
477,730,21,03-11-2022,434869,109692,12-05-2023
478,718,11,26-07-2023,872816,238393,06-08-2023
479,617,48,30-07-2023,936392,937797,
480,741,8,08-06-2023,872505,873201,
481,571,66,08-08-2023,854966,855372,
482,468,66,31-03-2023,350319,374595,
483,594,42,29-10-2022,358961,32181,09-07-2023
484,704,35,24-07-2023,60969,78819,
485,163,52,25-11-2022,782544,443797,07-05-2023
486,722,63,14-10-2022,693029,487210,31-12-2022
487,321,42,29-05-2023,961609,972866,
488,471,65,15-07-2023,412033,424626,
489,59,10,07-08-2023,465315,446383,09-08-2023
490,726,35,12-06-2023,677537,452200,09-08-2023
491,77,37,08-08-2023,504751,523344,
492,371,70,08-04-2023,450915,330975,17-04-2023
493,580,51,26-07-2023,857591,867170,
494,685,49,04-02-2023,323352,363694,
495,745,33,07-06-2023,815720,835838,
496,318,23,17-03-2023,158547,176574,
497,672,55,08-07-2023,494578,518802,
498,38,16,21-07-2023,792325,793451,
499,101,34,13-05-2023,645112,676009,
500,606,72,09-08-2023,584620,614708,
501,723,68,27-06-2023,848179,535066,14-07-2023
502,438,29,20-01-2023,758778,647751,15-05-2023
503,387,55,18-07-2023,714488,78136,10-08-2023
504,8,73,11-03-2023,116263,117374,
505,186,47,17-03-2023,722356,737649,
506,483,24,18-07-2023,502162,526930,
507,156,26,27-06-2023,592985,557605,08-07-2023
508,372,67,17-06-2023,238526,245250,
509,612,23,28-07-2023,764742,146591,08-08-2023
510,483,52,06-08-2023,355584,365864,
511,734,47,10-08-2023,317802,35208,11-08-2023
512,635,11,17-03-2023,573608,601609,
513,670,44,05-05-2023,318487,319264,
514,484,36,05-05-2023,596595,606611,
515,647,60,25-04-2023,338858,363208,
516,611,24,11-08-2023,997974,354900,11-08-2023
517,642,57,26-06-2023,988686,998770,
518,322,30,08-05-2023,827503,844802,
519,701,42,16-06-2023,733358,736074,
520,644,17,07-06-2023,84186,112359,
521,702,18,18-07-2023,978353,993579,
522,362,6,12-07-2023,971582,977993,
523,517,60,02-10-2022,241453,262566,
524,194,38,04-07-2023,220991,183993,04-07-2023
525,101,5,02-05-2023,244913,46735,11-07-2023
526,695,57,20-07-2023,171671,112557,07-08-2023
527,661,10,11-07-2023,968519,978337,
528,642,50,27-05-2023,897918,914665,
529,288,49,17-02-2023,280786,303165,
530,500,72,25-05-2023,773589,311927,08-06-2023
531,635,60,24-04-2023,270466,296815,
532,626,71,05-07-2023,435059,374909,02-08-2023
533,654,71,05-02-2023,307093,333629,
534,306,5,10-08-2023,867061,656065,11-08-2023
535,160,16,04-06-2023,390185,391975,
536,685,66,28-04-2023,930509,936094,
537,543,40,05-07-2023,74715,131206,
538,705,6,22-05-2023,586170,621456,
539,683,53,04-08-2023,855985,141461,09-08-2023
540,749,70,19-07-2023,337003,358528,
541,1,47,08-02-2023,623287,625910,
542,346,8,07-07-2023,972155,345688,09-07-2023
543,421,33,26-07-2023,546395,564465,
544,284,9,02-08-2023,310369,316940,
545,272,5,06-05-2023,993472,998664,
546,254,14,06-08-2023,55173,91994,
547,280,21,04-08-2023,395686,447582,
548,44,54,21-06-2023,410890,431397,
549,484,68,02-07-2023,247934,264688,
550,678,64,22-04-2023,87291,105187,
551,428,58,25-07-2023,752276,243068,03-08-2023
552,495,35,19-07-2023,109419,132619,
553,71,25,07-02-2023,174958,199325,
554,672,4,07-07-2023,510495,537716,
555,272,36,23-06-2023,906873,517341,11-07-2023
556,88,41,10-06-2023,596385,599326,
557,541,60,02-01-2023,159516,169254,
558,647,38,23-07-2023,913289,564992,28-07-2023
559,754,4,06-04-2023,884729,888512,
560,714,66,06-11-2022,914369,115734,08-06-2023
561,707,54,29-03-2023,583390,486079,22-06-2023
562,369,28,18-07-2023,471278,513143,
563,423,51,19-06-2023,980300,950087,29-07-2023
564,80,54,16-01-2023,478864,498517,
565,213,68,19-07-2023,51565,93541,
566,373,50,02-08-2023,977950,565305,09-08-2023
567,201,9,21-02-2023,94403,97679,
568,543,54,05-08-2023,269565,101772,11-08-2023
569,527,46,06-04-2023,890841,503430,05-07-2023
570,205,4,10-06-2023,440318,481172,
571,354,37,21-10-2022,826333,669016,18-12-2022
572,632,52,05-08-2023,263290,231168,11-08-2023
573,112,73,17-06-2023,872533,161206,02-08-2023
574,699,11,05-08-2023,242126,187655,10-08-2023
575,50,11,17-07-2023,581375,605776,
576,512,20,02-07-2023,934576,839940,20-07-2023
577,307,29,20-09-2022,636347,173940,13-04-2023
578,389,42,27-05-2023,518748,171428,05-07-2023
579,179,68,12-04-2023,498276,517213,
580,493,55,26-06-2023,648794,672730,
581,99,63,27-06-2023,774926,503706,17-07-2023
582,725,64,05-02-2023,386546,392690,
583,318,31,25-03-2023,928796,290379,08-07-2023
584,278,41,20-12-2022,842002,652636,11-03-2023
585,74,33,14-07-2023,641118,653751,
586,612,52,28-07-2023,606899,608731,
587,709,68,29-07-2023,346566,381081,
588,190,7,08-03-2023,695053,101583,05-06-2023
589,472,23,03-05-2023,767095,776427,
590,324,66,09-08-2023,250483,267984,
591,365,6,19-03-2023,533849,556553,
592,148,66,01-08-2023,731040,743442,
593,720,62,26-05-2023,208881,222432,
594,437,7,28-05-2023,932017,937355,
595,99,63,22-07-2023,358863,370249,
596,569,66,02-11-2022,521768,527219,
597,343,43,26-04-2023,976979,748167,21-07-2023
598,238,13,31-07-2023,646761,651730,
599,149,39,14-06-2023,915253,921929,
600,474,34,27-07-2023,780169,800242,
601,103,10,14-04-2023,944812,948146,
602,553,8,02-07-2023,991590,824822,07-07-2023
603,436,70,07-08-2023,939961,172997,11-08-2023
604,635,22,26-05-2023,931470,922146,19-06-2023
605,356,57,08-06-2023,932303,282740,28-06-2023
606,110,72,07-02-2023,511496,536621,
607,157,2,27-07-2023,459117,197541,03-08-2023
608,276,68,06-06-2023,887075,861745,21-06-2023
609,605,9,22-06-2023,634389,638898,
610,522,73,29-06-2023,332871,369476,
611,682,44,29-07-2023,174381,208472,
612,497,65,26-05-2023,484515,269999,23-07-2023
613,657,31,14-06-2023,658728,640933,22-07-2023
614,272,70,18-03-2023,454402,204164,21-06-2023
615,567,22,21-06-2023,153515,172350,
616,383,43,30-04-2023,697186,689059,20-06-2023
617,41,65,14-03-2023,68442,87101,
618,109,30,15-06-2023,420114,421730,
619,576,36,29-06-2023,711676,715882,
620,508,14,12-07-2023,287519,293717,
621,441,31,02-05-2023,139022,205604,
622,630,55,24-07-2023,355805,410750,
623,612,34,07-08-2023,740118,759248,
624,503,38,23-05-2023,329080,353907,
625,629,3,10-07-2023,373148,297528,01-08-2023
626,639,26,17-03-2023,989800,317649,06-07-2023
627,117,17,03-03-2023,797994,807192,
628,85,56,14-07-2023,418151,427713,
629,288,43,08-01-2023,742925,223871,20-03-2023
630,361,15,22-03-2023,457026,498943,
