payment_id,subscription_id,amount,payment_date
338,207,37.99,21-06-2023
339,208,1539.99,31-07-2023
340,209,4.49,18-07-2023
341,210,31.99,20-05-2023
342,211,19.99,08-06-2023
343,212,47.99,19-05-2023
344,213,3899,28-05-2023
345,214,1999,15-06-2023
346,215,13.99,07-07-2023
347,216,6.49,15-06-2023
348,216,6.49,15-07-2023
349,217,4.99,13-07-2023
350,218,1199,24-05-2023
351,219,1999,01-06-2023
352,220,1199,30-05-2023
353,221,3.99,22-06-2023
354,221,3.99,22-07-2023
355,222,17.99,01-05-2023
356,222,17.99,30-07-2023
357,223,17.99,01-07-2023
358,224,12.49,25-05-2023
359,225,1999,31-05-2023
360,226,37.99,11-05-2023
361,227,31.99,29-05-2023
362,228,42.99,09-07-2023
363,229,3.99,03-06-2023
364,229,3.99,03-07-2023
365,230,548.99,30-06-2023
366,230,548.99,30-07-2023
367,231,19.99,07-07-2023
368,232,22.49,19-07-2023
369,233,22.49,20-05-2023
370,234,6.49,16-05-2023
371,234,6.49,15-06-2023
372,234,6.49,15-07-2023
373,235,24.99,25-06-2023
374,236,4.49,07-05-2023
375,236,4.49,06-06-2023
376,236,4.49,06-07-2023
377,237,22.49,04-07-2023
378,238,6.49,07-05-2023
379,238,6.49,06-06-2023
380,238,6.49,06-07-2023
381,239,37.99,01-06-2023
382,240,1199,24-05-2023
383,241,5299.99,17-07-2023
384,242,6.49,29-06-2023
385,242,6.49,29-07-2023
386,243,19.99,23-05-2023
387,244,1999,08-05-2023
388,245,4.49,27-06-2023
389,245,4.49,27-07-2023
390,246,10.99,28-05-2023
391,247,37.99,17-07-2023
392,248,5299.99,23-06-2023
393,249,17.99,27-06-2023
394,250,42.99,29-07-2023
395,251,3899,12-06-2023
396,252,13.99,15-06-2023
397,253,2749.99,19-06-2023
398,254,1539.99,15-06-2023
399,255,3899,27-06-2023
400,256,10.99,06-06-2023
401,257,499,29-06-2023
402,257,499,29-07-2023
403,258,10.99,27-07-2023
404,259,3899,23-05-2023
405,260,13.99,07-05-2023
406,261,3.99,24-07-2023
407,262,31.99,18-06-2023
408,263,2749.99,15-05-2023
409,264,19.99,17-05-2023
410,265,22.49,28-05-2023
411,266,37.99,11-06-2023
412,267,17.99,24-05-2023
413,268,42.99,17-07-2023
414,269,47.99,07-05-2023
415,270,47.99,31-07-2023
416,271,3.99,28-06-2023
417,271,3.99,28-07-2023
418,272,2749.99,28-05-2023
419,273,13.99,26-05-2023
420,274,5299.99,06-06-2023
421,275,2749.99,05-05-2023
422,276,6.49,19-06-2023
423,276,6.49,19-07-2023
424,277,17.99,22-07-2023
425,278,3.99,17-07-2023
426,279,22.49,04-06-2023
427,280,1199,29-07-2023
428,281,1999,26-05-2023
429,282,5299.99,16-07-2023
430,283,22.49,02-07-2023
431,284,548.99,26-05-2023
432,284,548.99,25-06-2023
433,284,548.99,25-07-2023
434,285,6.49,21-06-2023
435,285,6.49,21-07-2023
436,286,59.99,29-05-2023
437,287,12.49,04-05-2023
438,288,1539.99,23-07-2023
439,289,4.49,12-05-2023
440,289,4.49,11-06-2023
441,289,4.49,11-07-2023
442,290,548.99,06-05-2023
443,290,548.99,05-06-2023
444,290,548.99,05-07-2023
445,291,6.49,30-06-2023
446,291,6.49,30-07-2023
447,292,5299.99,06-05-2023
448,293,499,14-05-2023
449,293,499,13-06-2023
450,293,499,13-07-2023
451,294,13.99,27-06-2023
452,295,22.49,10-05-2023
453,296,6.49,18-06-2023
454,296,6.49,18-07-2023
455,297,10.99,31-07-2023
456,298,548.99,22-07-2023
457,299,12.49,18-06-2023
458,300,24.99,26-07-2023
459,301,4.49,30-05-2023
460,301,4.49,29-06-2023
461,301,4.49,29-07-2023
462,302,6.49,04-05-2023
463,302,6.49,03-06-2023
464,302,6.49,03-07-2023
465,303,6.49,20-07-2023
466,304,548.99,25-07-2023
467,305,3.99,23-06-2023
468,305,3.99,23-07-2023
469,306,37.99,09-06-2023
470,307,10.99,08-05-2023
471,308,1999,19-07-2023
472,309,3899,15-07-2023
473,310,1999,02-07-2023
474,311,47.99,03-06-2023
475,312,5299.99,01-05-2023
476,313,13.99,15-07-2023
477,314,5299.99,10-05-2023
478,315,17.99,30-05-2023
479,316,2749.99,12-06-2023
480,317,2749.99,13-06-2023
481,318,47.99,23-07-2023
482,319,5299.99,20-06-2023
483,321,3899,07-05-2023
484,322,19.99,25-06-2023
485,323,17.99,13-07-2023
486,324,19.99,22-05-2023
487,325,1539.99,27-05-2023
488,326,6.49,24-06-2023
489,326,6.49,24-07-2023
490,327,22.49,12-07-2023
491,328,47.99,16-06-2023
492,329,1539.99,25-07-2023
493,330,22.49,19-06-2023
494,331,4.49,23-05-2023
495,331,4.49,22-06-2023
496,331,4.49,22-07-2023
497,332,1999,15-05-2023
498,333,42.99,17-05-2023
499,334,548.99,02-05-2023
500,334,548.99,01-06-2023
501,334,548.99,01-07-2023
502,334,548.99,31-07-2023
503,335,22.49,13-06-2023
504,336,1539.99,04-05-2023
505,337,5299.99,04-05-2023
506,338,37.99,12-05-2023
507,339,3899,03-07-2023
508,340,12.49,05-06-2023
509,341,1199,19-06-2023
510,342,22.49,26-05-2023
511,343,31.99,08-05-2023
512,344,499,19-07-2023
513,345,3899,09-07-2023
514,346,47.99,30-07-2023
515,347,37.99,05-05-2023
516,348,31.99,10-05-2023
517,349,4.99,30-07-2023
518,350,4.99,11-07-2023
519,351,31.99,23-05-2023
520,352,1199,17-06-2023
521,353,2749.99,07-06-2023
522,354,19.99,04-06-2023
523,355,1199,11-05-2023
524,356,1999,16-05-2023
525,357,3.99,07-05-2023
526,357,3.99,06-06-2023
527,357,3.99,06-07-2023
528,358,499,08-06-2023
529,358,499,08-07-2023
530,359,5299.99,07-06-2023
531,360,5299.99,21-05-2023
532,361,4.49,10-06-2023
533,361,4.49,10-07-2023
534,362,1199,10-05-2023
535,363,24.99,07-06-2023
536,364,3899,17-06-2023
537,365,1539.99,06-05-2023
538,366,4.49,20-07-2023
539,367,59.99,28-05-2023
540,368,59.99,20-06-2023
541,369,59.99,14-05-2023
542,370,31.99,23-05-2023
543,371,1999,04-07-2023
544,372,31.99,15-06-2023
545,373,24.99,13-06-2023
546,374,5299.99,25-06-2023
547,375,47.99,18-06-2023
548,376,17.99,05-06-2023
549,377,6.49,09-05-2023
550,377,6.49,08-06-2023
551,377,6.49,08-07-2023
552,378,1999,11-06-2023
553,379,499,20-05-2023
554,379,499,19-06-2023
555,379,499,19-07-2023
556,380,19.99,10-07-2023
557,381,42.99,23-06-2023
558,382,17.99,16-06-2023
559,383,59.99,09-06-2023
560,384,5299.99,29-05-2023
561,385,548.99,06-05-2023
562,385,548.99,05-06-2023
563,385,548.99,05-07-2023
564,386,1199,06-07-2023
565,387,3899,03-06-2023
566,388,42.99,22-05-2023
567,389,24.99,02-07-2023
568,390,1539.99,21-05-2023
569,391,37.99,07-07-2023
570,392,19.99,02-07-2023
571,393,1999,14-06-2023
572,394,1539.99,22-05-2023
573,395,4.49,20-05-2023
574,395,4.49,19-06-2023
575,395,4.49,19-07-2023
576,396,4.99,12-07-2023
577,397,5299.99,07-06-2023
578,398,10.99,29-05-2023
579,399,5299.99,20-06-2023
580,400,3.99,27-07-2023
581,401,12.49,06-06-2023
582,402,10.99,13-06-2023
583,403,499,02-06-2023
584,403,499,02-07-2023
585,404,1999,29-06-2023
586,405,499,26-06-2023
587,405,499,26-07-2023
588,406,17.99,03-06-2023
589,407,6.49,02-06-2023
590,407,6.49,02-07-2023
591,408,1539.99,30-06-2023
592,409,6.49,17-07-2023
593,410,499,23-05-2023
594,410,499,22-06-2023
595,410,499,22-07-2023
596,411,10.99,19-06-2023
597,412,4.49,07-07-2023
598,413,4.49,24-05-2023
599,413,4.49,23-06-2023
600,413,4.49,23-07-2023
601,414,12.49,22-05-2023
602,415,3899,05-05-2023
603,416,12.49,10-07-2023
604,417,4.49,16-05-2023
605,417,4.49,15-06-2023
606,417,4.49,15-07-2023
607,418,19.99,26-07-2023
608,419,499,28-05-2023
609,419,499,27-06-2023
610,419,499,27-07-2023
611,420,6.49,16-06-2023
612,420,6.49,16-07-2023
613,421,13.99,23-05-2023
614,422,1999,11-07-2023
615,423,42.99,14-05-2023
616,424,2749.99,15-05-2023
617,425,1999,22-06-2023
618,426,5299.99,08-05-2023
619,427,47.99,13-05-2023
620,428,24.99,22-06-2023
621,429,2749.99,07-05-2023
622,430,1199,12-07-2023
623,431,1539.99,23-06-2023
624,432,1199,09-07-2023
625,433,10.99,05-06-2023
626,434,2749.99,09-06-2023
627,435,3899,29-06-2023
628,436,42.99,18-05-2023
629,437,42.99,03-07-2023
630,438,42.99,31-07-2023
631,439,1539.99,30-06-2023
632,440,1539.99,22-07-2023
633,441,47.99,19-05-2023
634,442,4.49,30-05-2023
635,442,4.49,29-06-2023
636,442,4.49,29-07-2023
637,443,47.99,27-07-2023
638,444,10.99,22-06-2023
639,445,13.99,31-07-2023
640,446,2749.99,02-05-2023
641,447,22.49,31-07-2023
642,448,47.99,29-07-2023
643,449,6.49,25-06-2023
644,449,6.49,25-07-2023
645,450,1539.99,04-06-2023
646,451,24.99,09-06-2023
647,452,59.99,07-07-2023
648,453,2749.99,03-05-2023
649,454,12.49,29-05-2023
650,455,22.49,09-06-2023
651,456,24.99,29-05-2023
652,457,5299.99,13-06-2023
653,458,2749.99,31-07-2023
654,459,42.99,04-07-2023
655,460,499,21-05-2023
656,460,499,20-06-2023
657,460,499,20-07-2023
658,461,22.49,18-06-2023
659,462,6.49,04-06-2023
660,462,6.49,04-07-2023
661,463,13.99,10-06-2023
662,464,1199,06-05-2023
663,465,10.99,10-05-2023
664,466,6.49,12-07-2023
665,467,19.99,16-07-2023
666,468,4.49,04-05-2023
667,468,4.49,03-06-2023
668,468,4.49,03-07-2023
669,469,42.99,09-07-2023
670,470,3899,26-07-2023
671,471,24.99,18-07-2023
672,472,12.49,20-06-2023
673,473,3899,20-06-2023
674,474,1539.99,15-07-2023
675,475,548.99,09-05-2023
676,475,548.99,08-06-2023
677,475,548.99,08-07-2023
678,476,59.99,27-07-2023
679,477,59.99,31-05-2023
680,478,4.49,01-05-2023
681,478,4.49,31-05-2023
682,478,4.49,30-06-2023
683,478,4.49,30-07-2023
684,479,5299.99,14-06-2023
685,480,24.99,08-06-2023
686,481,42.99,18-06-2023
687,482,59.99,02-05-2023
688,483,10.99,07-07-2023
689,484,3899,29-05-2023
690,485,12.49,12-07-2023
691,486,22.49,06-05-2023
692,487,22.49,13-07-2023
693,488,12.49,04-06-2023
694,489,13.99,18-06-2023
695,490,13.99,01-05-2023
696,490,13.99,30-07-2023
697,491,3899,03-05-2023
698,492,3.99,20-07-2023
699,493,22.49,23-07-2023
700,494,10.99,04-05-2023
701,495,499,25-05-2023
702,495,499,24-06-2023
703,495,499,24-07-2023
704,496,42.99,07-07-2023
705,497,1199,09-07-2023
706,498,3.99,22-05-2023
707,498,3.99,21-06-2023
708,498,3.99,21-07-2023
709,499,24.99,05-05-2023
710,500,6.49,06-05-2023
711,500,6.49,05-06-2023
712,500,6.49,05-07-2023
713,501,31.99,19-06-2023
714,502,6.49,22-07-2023
715,503,1539.99,23-05-2023
716,504,22.49,28-06-2023
717,505,548.99,20-07-2023
718,506,4.49,03-06-2023
719,506,4.49,03-07-2023
720,507,24.99,02-07-2023
721,508,12.49,08-06-2023
722,509,548.99,19-06-2023
723,509,548.99,19-07-2023
724,510,37.99,17-07-2023
725,511,31.99,25-07-2023
726,512,10.99,02-05-2023
727,512,10.99,31-07-2023
728,513,3.99,28-06-2023
729,513,3.99,28-07-2023
730,514,10.99,27-05-2023
731,515,1199,12-05-2023
732,516,2749.99,10-06-2023
733,517,548.99,20-06-2023
734,517,548.99,20-07-2023
735,518,10.99,19-05-2023
736,519,19.99,23-06-2023
737,520,4.99,21-05-2023
738,520,4.99,20-06-2023
739,520,4.99,20-07-2023
740,521,10.99,11-06-2023
741,522,6.49,27-06-2023
742,522,6.49,27-07-2023
743,523,1999,10-07-2023
744,524,1539.99,01-05-2023
745,524,1539.99,30-07-2023
746,525,22.49,15-07-2023
747,526,31.99,07-06-2023
748,527,4.99,25-06-2023
749,527,4.99,25-07-2023
750,528,37.99,22-06-2023
751,529,47.99,07-05-2023
752,530,3.99,02-06-2023
753,530,3.99,02-07-2023
754,531,42.99,19-06-2023
755,532,2749.99,19-07-2023
756,533,3899,28-07-2023
757,534,3.99,14-07-2023
758,535,4.99,17-06-2023
759,535,4.99,17-07-2023
760,536,37.99,01-05-2023
761,537,22.49,24-05-2023
762,538,37.99,12-07-2023
763,539,10.99,23-06-2023
764,540,548.99,02-06-2023
765,540,548.99,02-07-2023
766,541,42.99,13-06-2023
767,542,19.99,08-07-2023
768,543,24.99,09-06-2023
769,544,499,09-07-2023
770,545,4.99,09-07-2023
771,546,22.49,10-07-2023
772,547,5299.99,30-05-2023
773,548,3899,14-05-2023
774,549,3899,19-05-2023
775,551,4.99,05-06-2023
776,551,4.99,05-07-2023
777,552,548.99,02-06-2023
778,552,548.99,02-07-2023
779,553,13.99,27-05-2023
780,554,31.99,25-07-2023
781,555,4.49,24-07-2023
782,556,13.99,17-06-2023
783,557,4.49,11-05-2023
784,557,4.49,10-06-2023
785,557,4.49,10-07-2023
786,558,1999,02-06-2023
787,559,5299.99,21-06-2023
788,560,42.99,11-07-2023
789,561,10.99,25-05-2023
790,562,3.99,14-06-2023
791,562,3.99,14-07-2023
792,563,1199,27-07-2023
793,564,4.99,12-05-2023
794,564,4.99,11-06-2023
795,564,4.99,11-07-2023
796,565,12.49,08-07-2023
797,566,3.99,04-06-2023
798,566,3.99,04-07-2023
799,567,13.99,26-06-2023
800,568,31.99,02-05-2023
801,569,13.99,13-06-2023
802,570,22.49,13-06-2023
803,571,1199,30-05-2023
804,572,13.99,05-05-2023
805,573,37.99,17-06-2023
806,574,19.99,11-07-2023
807,575,22.49,16-07-2023
808,576,31.99,16-07-2023
809,577,42.99,25-06-2023
810,578,17.99,18-06-2023
811,579,42.99,07-06-2023
812,580,5299.99,14-05-2023
813,581,1199,31-05-2023
814,582,1199,12-06-2023
815,583,548.99,03-05-2023
816,583,548.99,02-06-2023
817,583,548.99,02-07-2023
818,584,31.99,09-05-2023
819,585,4.49,07-07-2023
820,586,1999,08-07-2023
821,587,37.99,07-05-2023
822,588,13.99,18-06-2023
823,589,1199,08-07-2023
824,590,548.99,06-07-2023
825,591,499,21-06-2023
826,591,499,21-07-2023
827,592,12.49,07-07-2023
828,593,4.49,27-06-2023
829,593,4.49,27-07-2023
830,594,19.99,04-07-2023
831,595,59.99,21-07-2023
832,596,24.99,18-06-2023
833,597,24.99,19-07-2023
834,598,5299.99,31-05-2023
835,599,548.99,15-05-2023
836,599,548.99,14-06-2023
837,599,548.99,14-07-2023
838,600,31.99,15-05-2023
839,601,42.99,08-06-2023
840,602,24.99,18-06-2023
841,603,31.99,03-05-2023
842,604,1539.99,08-05-2023
843,605,5299.99,09-06-2023
844,606,499,11-07-2023
845,607,19.99,09-05-2023
846,608,47.99,21-07-2023
847,609,47.99,14-07-2023
848,610,1199,09-05-2023
849,611,59.99,25-07-2023
850,612,37.99,17-06-2023
851,613,4.99,21-05-2023
852,613,4.99,20-06-2023
853,613,4.99,20-07-2023
854,614,5299.99,23-05-2023
855,615,4.99,25-07-2023
856,616,2749.99,31-05-2023
857,617,1539.99,26-07-2023
858,618,17.99,06-07-2023
859,619,2749.99,27-07-2023
860,620,31.99,26-06-2023
861,621,499,05-07-2023
862,622,4.49,28-05-2023
863,622,4.49,27-06-2023
864,622,4.49,27-07-2023
865,623,499,22-05-2023
866,623,499,21-06-2023
867,623,499,21-07-2023
868,624,1999,29-06-2023
869,625,24.99,08-07-2023
870,626,4.99,18-07-2023
871,627,3.99,13-06-2023
872,627,3.99,13-07-2023
873,628,3899,29-07-2023
874,629,1199,13-06-2023
875,630,37.99,04-07-2023
876,631,19.99,23-05-2023
877,632,10.99,12-05-2023
878,633,12.49,19-05-2023
879,634,1539.99,30-05-2023
880,635,59.99,02-05-2023
881,636,37.99,02-05-2023
882,637,548.99,30-06-2023
883,637,548.99,30-07-2023
884,638,24.99,03-06-2023
885,639,5299.99,25-05-2023
886,640,47.99,17-06-2023
887,641,31.99,09-07-2023
888,642,19.99,21-05-2023
889,643,31.99,24-06-2023
890,644,37.99,13-05-2023
891,645,42.99,14-06-2023
892,646,24.99,22-07-2023
893,647,499,06-06-2023
894,647,499,06-07-2023
895,648,3.99,06-05-2023
896,648,3.99,05-06-2023
897,648,3.99,05-07-2023
898,649,22.49,03-07-2023
899,650,548.99,17-06-2023
900,650,548.99,17-07-2023
901,651,4.99,04-06-2023
902,651,4.99,04-07-2023
903,652,12.49,26-06-2023
904,653,499,16-05-2023
905,653,499,15-06-2023
906,653,499,15-07-2023
907,654,3.99,30-06-2023
908,654,3.99,30-07-2023
909,655,12.49,08-07-2023
910,656,2749.99,25-05-2023
911,657,24.99,31-07-2023
912,658,17.99,18-05-2023
913,659,42.99,22-05-2023
914,660,42.99,07-07-2023
915,661,10.99,09-06-2023
916,662,3.99,06-07-2023
917,663,4.99,07-07-2023
918,664,3899,02-05-2023
919,665,37.99,04-07-2023
920,666,1539.99,14-07-2023
921,667,4.99,26-05-2023
922,667,4.99,25-06-2023
923,667,4.99,25-07-2023
924,668,47.99,25-05-2023
925,669,1999,11-05-2023
926,670,22.49,07-05-2023
927,671,47.99,26-06-2023
928,672,2749.99,29-05-2023
929,673,12.49,19-05-2023
930,674,59.99,26-07-2023
931,675,4.99,19-05-2023
932,675,4.99,18-06-2023
933,675,4.99,18-07-2023
934,676,1199,26-06-2023
935,677,42.99,30-05-2023
936,678,548.99,02-05-2023
937,678,548.99,01-06-2023
938,678,548.99,01-07-2023
939,678,548.99,31-07-2023
940,679,4.99,05-05-2023
941,679,4.99,04-06-2023
942,679,4.99,04-07-2023
943,680,499,31-07-2023
944,681,1539.99,13-07-2023
945,682,19.99,27-05-2023
946,683,4.49,25-06-2023
947,683,4.49,25-07-2023
948,684,31.99,16-05-2023
949,685,24.99,06-06-2023
950,686,548.99,04-05-2023
951,686,548.99,03-06-2023
952,686,548.99,03-07-2023
953,687,3899,21-05-2023
954,688,10.99,01-07-2023
955,689,1539.99,08-06-2023
956,690,1199,01-05-2023
957,690,1199,30-07-2023
958,691,17.99,17-06-2023
959,692,10.99,03-06-2023
960,693,13.99,22-06-2023
961,694,548.99,08-06-2023
962,694,548.99,08-07-2023
963,695,42.99,14-06-2023
964,696,19.99,22-07-2023
965,697,548.99,07-05-2023
966,697,548.99,06-06-2023
967,697,548.99,06-07-2023
968,698,499,06-05-2023
969,698,499,05-06-2023
970,698,499,05-07-2023
971,699,59.99,27-07-2023
972,700,3899,20-07-2023
973,701,1999,08-07-2023
974,702,37.99,04-06-2023
975,703,10.99,30-06-2023
976,704,10.99,20-05-2023
977,705,499,19-07-2023
978,706,59.99,04-05-2023
979,707,10.99,18-05-2023
980,708,548.99,11-05-2023
981,708,548.99,10-06-2023
982,708,548.99,10-07-2023
983,709,24.99,03-05-2023
984,710,19.99,29-05-2023
985,711,47.99,06-07-2023
986,712,5299.99,22-05-2023
987,713,548.99,19-05-2023
988,713,548.99,18-06-2023
989,713,548.99,18-07-2023
990,714,47.99,17-05-2023
991,715,1999,22-06-2023
992,716,1199,08-07-2023
993,717,499,25-07-2023
994,718,3899,28-07-2023
995,719,4.49,19-05-2023
996,719,4.49,18-06-2023
997,719,4.49,18-07-2023
998,720,12.49,12-07-2023
999,721,4.99,12-05-2023
1000,721,4.99,11-06-2023
1001,721,4.99,11-07-2023
1002,722,6.49,22-06-2023
1003,722,6.49,22-07-2023
1004,723,59.99,07-07-2023
1005,724,3899,08-07-2023
1006,725,4.49,02-07-2023
1007,726,3899,21-07-2023
1008,727,17.99,31-07-2023
1009,728,548.99,02-06-2023
1010,728,548.99,02-07-2023
1011,729,31.99,10-07-2023
1012,730,5299.99,15-06-2023
1013,731,5299.99,29-06-2023
1014,732,10.99,06-06-2023
1015,733,17.99,22-06-2023
1016,734,31.99,30-07-2023
1017,735,19.99,29-06-2023
1018,736,13.99,21-06-2023
1019,737,59.99,26-06-2023
1020,738,1999,16-05-2023
1021,739,2749.99,22-05-2023
1022,740,548.99,06-05-2023
1023,740,548.99,05-06-2023
1024,740,548.99,05-07-2023
1025,741,1539.99,03-05-2023
1026,742,1199,12-05-2023
1027,743,499,29-07-2023
1028,744,42.99,20-06-2023
1029,745,19.99,06-05-2023
1030,746,17.99,15-06-2023
1031,747,5299.99,24-07-2023
1032,748,37.99,03-05-2023
1033,749,31.99,25-07-2023
1034,750,499,13-06-2023
1035,750,499,13-07-2023
1036,751,17.99,11-06-2023
1037,752,12.49,09-05-2023
1038,753,37.99,02-06-2023
1039,754,59.99,12-07-2023
1040,755,5299.99,18-07-2023
1041,756,1199,01-06-2023
1042,757,548.99,01-06-2023
1043,757,548.99,01-07-2023
1044,757,548.99,31-07-2023
1045,758,13.99,09-05-2023
1046,759,5299.99,01-07-2023
1047,760,17.99,29-05-2023
1048,761,548.99,10-06-2023
1049,761,548.99,10-07-2023
1050,762,499,11-06-2023
1051,762,499,11-07-2023
1052,763,13.99,10-07-2023
1053,764,37.99,04-06-2023
1054,765,24.99,20-07-2023
1055,766,10.99,08-06-2023
1056,767,499,19-07-2023
1057,768,37.99,19-06-2023
1058,769,22.49,06-05-2023
1059,770,499,26-05-2023
1060,770,499,25-06-2023
1061,770,499,25-07-2023
1062,771,37.99,16-06-2023
1063,772,1199,22-06-2023
1064,773,37.99,10-06-2023
1065,774,4.49,22-06-2023
1066,774,4.49,22-07-2023
1067,775,3.99,29-07-2023
1068,776,4.49,03-07-2023
1069,777,22.49,11-07-2023
1070,778,31.99,28-05-2023
1071,779,3.99,16-06-2023
1072,779,3.99,16-07-2023
1073,780,13.99,20-07-2023
1074,781,59.99,13-06-2023
1075,782,4.49,30-05-2023
1076,782,4.49,29-06-2023
1077,782,4.49,29-07-2023
1078,783,37.99,23-05-2023
1079,784,22.49,27-06-2023
1080,785,24.99,01-06-2023
1081,786,3.99,04-06-2023
1082,786,3.99,04-07-2023
1083,787,10.99,07-06-2023
1084,788,4.49,28-05-2023
1085,788,4.49,27-06-2023
1086,788,4.49,27-07-2023
1087,789,6.49,03-06-2023
1088,789,6.49,03-07-2023
1089,790,6.49,11-07-2023
1090,791,3899,26-06-2023
1091,792,548.99,25-06-2023
1092,792,548.99,25-07-2023
1093,793,22.49,15-05-2023
1094,794,10.99,15-06-2023
1095,795,1999,19-06-2023
1096,796,24.99,29-05-2023
1097,797,548.99,24-07-2023
1098,798,22.49,31-05-2023
1099,799,4.49,10-07-2023
1100,800,548.99,07-05-2023
1101,800,548.99,06-06-2023
1102,800,548.99,06-07-2023
1103,801,2749.99,13-05-2023
1104,802,4.49,30-05-2023
1105,802,4.49,29-06-2023
1106,802,4.49,29-07-2023
1107,803,10.99,01-05-2023
1108,803,10.99,30-07-2023
1109,804,10.99,21-05-2023
1110,805,6.49,22-07-2023
1111,806,24.99,17-06-2023
1112,807,42.99,25-07-2023
1113,808,499,30-07-2023
1114,809,24.99,24-07-2023
1115,810,24.99,02-06-2023
1116,811,4.49,14-06-2023
1117,811,4.49,14-07-2023
1118,812,499,04-05-2023
1119,812,499,03-06-2023
1120,812,499,03-07-2023
1121,813,3.99,09-07-2023
1122,814,1199,11-06-2023
1123,815,1539.99,25-06-2023
1124,816,37.99,19-05-2023
1125,817,1539.99,24-07-2023
1126,818,4.49,24-07-2023
1127,819,3.99,14-06-2023
1128,819,3.99,14-07-2023
1129,820,17.99,26-05-2023
1130,821,6.49,29-07-2023
1131,822,1199,29-06-2023
